EXECUTIONID,ABSTRACTIONID,ACTIONID,ARENAID,SHEETID,SYSTEMID,VARIANTID,ADAPTERID,X,Y,TYPE,VALUE,RAWVALUE,VALUETYPE,LASTMODIFIED,EXECUTIONTIME
bb94fa25-9bfd-41e0-9fac-b50f11a53c50,Task2,,execute,2.xlsx,None,original,"('create', 'createPythonObject', 0)",0,1,value,"['3', '4', '5',","['3', '4', '5', '6']",<class 'list'>,"(datetime.datetime(2024, 9, 13, 12, 25, 24, 691000), 0)",-1
7d32cdb0-4a1d-458a-9af5-2da3d5d88360,Task59,,execute,59.xlsx,bda09730cc722e2e690280dccf9da96a,original,"('is_octagonal', 'is_octagonal', 0)",-1,2,metrics_covered_lines_in_function_ratio,100.0,100.0,<class 'float'>,"(datetime.datetime(2024, 9, 13, 12, 26, 54, 701000), 0)",-1
a7ed1d03-0f93-42fe-af77-7104d458cb4f,Task66,,execute,66.xlsx,None,original,"('create', 'createPythonObject', 0)",1,3,op,create,create,function,"(datetime.datetime(2024, 9, 13, 12, 27, 28, 327000), 0)",-1
a7ed1d03-0f93-42fe-af77-7104d458cb4f,Task66,,execute,66.xlsx,3c3295cef0ef9d320de07d90662e22d9,original,"('pos_count', 'pos_count', 0)",-1,6,metrics_covered_lines_in_function,5,5,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 27, 28, 330000), 0)",-1
25fd18e8-80c0-4408-bba2-3578181c0360,Task58,,execute,58.xlsx,45899003e6e468b51c733eb7daaa1eaf,original,"('opposite_Signs', 'opposite_Signs', 0)",1,3,adaptation_instruction,No adaptations ,No adaptations needed,AdaptationInstruction,"(datetime.datetime(2024, 9, 13, 12, 26, 49, 693000), 0)",-1
f121fd99-4422-4ba6-8004-725ceecfb190,Task9,,execute,9.xlsx,4211222121a7d7097e2db683a19f7ce6,original,"('find_Rotations', 'find_Rotations', 0)",-1,2,metrics_covered_branches_in_function,3,3,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 25, 51, 477000), 0)",-1
2936d273-898c-4b6d-9360-04650af560c9,Task8,,execute,8.xlsx,562286dcbbd409d0318a556a81e60e7e,original,"('square_nums', 'square_nums', 0)",-1,6,metrics_execution_time,159,159,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 25, 47, 586000), 0)",-1
d44c2942-79f9-4494-9610-62d081360c0e,Task6,,execute,6.xlsx,3657a3483edda41e0c8651e6b8ce4533,original,"('differ_At_One_Bit_Pos', 'differ_At_One_Bit_Pos', 0)",2,4,input_value,-,-,<class 'str'>,"(datetime.datetime(2024, 9, 13, 12, 25, 43, 126000), 0)",-1
3c483f65-928b-49f9-a65a-edaf6dbabe09,Task61,,execute,61.xlsx,03f9c9c6391f8f2a0d652e53396e6117,original,"('count_Substrings', 'count_Substrings', 0)",-1,2,metrics_all_branches_in_file,1153,1153,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 27, 0, 309000), 0)",-1
4b0c607a-78f7-4356-a605-e2e462302ada,Task68,,execute,68.xlsx,2bdf15b96c152386ffd80a5402ec2068,original,"('is_Monotonic', 'is_Monotonic', 0)",3,2,input_value,"[6, 5, 4, 4]","[6, 5, 4, 4]",<class 'list'>,"(datetime.datetime(2024, 9, 13, 12, 27, 39, 630000), 0)",-1
070b0f41-8841-463c-9208-354a352ad939,Task70,,execute,70.xlsx,e36effc2bd77fe51d13d60fac43ead68,original,"('get_equal', 'get_equal', 0)",-1,8,metrics_all_branches_in_function,0,0,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 27, 50, 740000), 0)",-1
05d67350-cc45-41fa-aec1-6216b02e55a7,Task75,,execute,75.xlsx,None,original,"('create', 'createPythonObject', 0)",5,14,input_value,4,4,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 28, 13, 890000), 0)",-1
e2ac1971-9bd0-47df-940f-d0dfb30db9e4,Task72,,execute,72.xlsx,a2faa1d518c16c13bd976c0060d6a218,original,"('dif_Square', 'dif_Square', 0)",-1,1,metrics_covered_lines_in_function,2,2,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 28, 2, 531000), 0)",-1
05d67350-cc45-41fa-aec1-6216b02e55a7,Task75,,execute,75.xlsx,None,original,"('create', 'createPythonObject', 0)",1,5,adaptation_instruction,No adaptations ,No adaptations needed,AdaptationInstruction,"(datetime.datetime(2024, 9, 13, 12, 28, 13, 884000), 0)",-1
8685fa01-4ba0-486a-ad3b-bf2f3fb4adcc,Task17,,execute,17.xlsx,44d3ff0cde54cde689c42c6d42500212,original,"('square_perimeter', 'square_perimeter', 0)",2,3,input_value,-,-,<class 'str'>,"(datetime.datetime(2024, 9, 13, 12, 26, 12, 885000), 0)",-1
471fb178-e575-4133-bca6-1962c2d507ff,Task80,,execute,80.xlsx,feb2a26228d0ea840e8873f2cd05a1ee,original,"('tetrahedral_number', 'tetrahedral_number', 0)",0,3,value,84.0,84.0,<class 'float'>,"(datetime.datetime(2024, 9, 13, 12, 28, 30, 777000), 0)",144
01d1aa49-f721-4d86-8bf7-db68477d8d08,Task11,,execute,11.xlsx,057ce3cd04c50996892c940eaaa398ec,original,"('remove_Occ', 'remove_Occ', 0)",1,3,adaptation_instruction,No adaptations ,No adaptations needed,AdaptationInstruction,"(datetime.datetime(2024, 9, 13, 12, 25, 55, 147000), 0)",-1
04f74e1f-7ccf-4220-8b6c-f87f5828e51c,Task16,,execute,16.xlsx,44b79afe266992429a44076a4bf2b532,original,"('text_lowercase_underscore', 'text_lowercase_underscore', 0)",-1,3,metrics_covered_lines_in_function_ratio,66.666666666666,66.66666666666667,<class 'float'>,"(datetime.datetime(2024, 9, 13, 12, 26, 7, 488000), 0)",-1
91cd883e-3db2-44b7-9604-d3b6e88eedcb,Task63,,execute,63.xlsx,None,original,"('create', 'createPythonObject', 0)",0,1,value,"(3, 5)","(3, 5)",<class 'tuple'>,"(datetime.datetime(2024, 9, 13, 12, 27, 11, 347000), 0)",-1
471fb178-e575-4133-bca6-1962c2d507ff,Task80,,execute,80.xlsx,feb2a26228d0ea840e8873f2cd05a1ee,original,"('tetrahedral_number', 'tetrahedral_number', 0)",-1,1,metrics_all_branches_in_function,0,0,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 28, 30, 776000), 0)",-1
2644e3f2-d2b2-42bd-b2aa-e81ced959c88,Task14,,execute,14.xlsx,f612f1d481b718d8e895b72f4d91ce74,original,"('find_Volume', 'find_Volume', 0)",4,1,input_value,8,8,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 26, 2, 369000), 0)",-1
5148f65f-17cd-4e16-a135-436f8e0f8bd9,Task69,,execute,69.xlsx,7f1fe83226516d017fe927a3135126d2,original,"('is_sublist', 'is_sublist', 0)",1,6,op,is_sublist,is_sublist,function,"(datetime.datetime(2024, 9, 13, 12, 27, 45, 826000), 0)",219
01ce2038-39bc-4d92-a834-2d271ff4e215,Task18,,execute,18.xlsx,ea034c93c68df740c4c60f628076677f,original,"('remove_dirty_chars', 'remove_dirty_chars', 0)",4,2,input_value,talent,talent,<class 'str'>,"(datetime.datetime(2024, 9, 13, 12, 26, 18, 440000), 0)",-1
471fb178-e575-4133-bca6-1962c2d507ff,Task80,,execute,80.xlsx,oracle,oracle,oracle,0,3,oracle,84,84,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 28, 30, 777000), 0)",-1
f0338883-816d-4e31-bb40-ba498f1f5652,Task71,,execute,71.xlsx,fe17575eca8861c3566058c9cb9a1744,original,"('comb_sort', 'comb_sort', 0)",0,3,value,"[5, 15, 25, 37,","[5, 15, 25, 37, 79]",<class 'list'>,"(datetime.datetime(2024, 9, 13, 12, 27, 57, 338000), 0)",167
77a9f0f0-ed69-4652-8d41-b1eb0378da51,Task64,,execute,64.xlsx,bca1fc35d418ea7f57810759e490efc8,original,"('subject_marks', 'subject_marks', 0)",-1,14,metrics_covered_lines_in_file,2,2,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 27, 16, 598000), 0)",-1
91cd883e-3db2-44b7-9604-d3b6e88eedcb,Task63,,execute,63.xlsx,None,original,"('create', 'createPythonObject', 0)",4,7,input_value,17,17,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 27, 11, 350000), 0)",-1
05d67350-cc45-41fa-aec1-6216b02e55a7,Task75,,execute,75.xlsx,130bab9304c6912932299f84d4eac774,original,"('find_tuples', 'find_tuples', 0)",-1,6,metrics_covered_branches_in_function,2,2,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 28, 13, 886000), 0)",-1
6f8ecc10-a9a9-48ee-869a-ba254e25eaa2,Task20,,execute,20.xlsx,b622b9aa07862f986b31efb97507b831,original,"('is_woodall', 'is_woodall', 0)",-1,3,metrics_covered_lines_in_function,2,2,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 26, 29, 998000), 0)",-1
77a9f0f0-ed69-4652-8d41-b1eb0378da51,Task64,,execute,64.xlsx,None,original,"('create', 'createPythonObject', 0)",4,20,input_value,"('Physics', 96)","('Physics', 96)",<class 'tuple'>,"(datetime.datetime(2024, 9, 13, 12, 27, 16, 600000), 0)",-1
17c27553-3164-4123-8636-65ee21f0692d,Task57,,execute,57.xlsx,None,original,"('create', 'createPythonObject', 0)",6,3,input_value,1,1,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 26, 43, 1000), 0)",-1
2644e3f2-d2b2-42bd-b2aa-e81ced959c88,Task14,,execute,14.xlsx,f612f1d481b718d8e895b72f4d91ce74,original,"('find_Volume', 'find_Volume', 0)",-1,2,metrics_covered_lines_in_function_ratio,100.0,100.0,<class 'float'>,"(datetime.datetime(2024, 9, 13, 12, 26, 2, 370000), 0)",-1
4b0c607a-78f7-4356-a605-e2e462302ada,Task68,,execute,68.xlsx,None,original,"('create', 'createPythonObject', 0)",6,1,input_value,4,4,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 27, 39, 629000), 0)",-1
bb94fa25-9bfd-41e0-9fac-b50f11a53c50,Task2,,execute,2.xlsx,c7234eb2c9feeb4de4561b5d9d5dcc84,original,"('similar_elements', 'similar_elements', 0)",-1,12,metrics_covered_branches_in_function,0,0,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 25, 24, 697000), 0)",-1
2936d273-898c-4b6d-9360-04650af560c9,Task8,,execute,8.xlsx,562286dcbbd409d0318a556a81e60e7e,original,"('square_nums', 'square_nums', 0)",-1,3,metrics_all_branches_in_function,2,2,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 25, 47, 585000), 0)",-1
8e4852e7-e6f1-484f-8f65-58c9009fc640,Task4,,execute,4.xlsx,None,original,"('create', 'createPythonObject', 0)",9,1,input_value,75,75,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 25, 35, 224000), 0)",-1
b8903a65-2825-486f-a310-622b0f61f31e,Task65,,execute,65.xlsx,None,original,"('create', 'createPythonObject', 0)",1,1,op,create,create,function,"(datetime.datetime(2024, 9, 13, 12, 27, 22, 664000), 0)",-1
5148f65f-17cd-4e16-a135-436f8e0f8bd9,Task69,,execute,69.xlsx,7f1fe83226516d017fe927a3135126d2,original,"('is_sublist', 'is_sublist', 0)",-1,9,metrics_covered_branches_in_file,6,6,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 27, 45, 828000), 0)",-1
3c483f65-928b-49f9-a65a-edaf6dbabe09,Task61,,execute,61.xlsx,03f9c9c6391f8f2a0d652e53396e6117,original,"('count_Substrings', 'count_Substrings', 0)",-1,3,metrics_all_branches_in_function,4,4,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 27, 0, 310000), 0)",-1
070b0f41-8841-463c-9208-354a352ad939,Task70,,execute,70.xlsx,None,original,"('create', 'createPythonObject', 0)",2,2,input_value,python.Tuple,python.Tuple,<class 'str'>,"(datetime.datetime(2024, 9, 13, 12, 27, 50, 737000), 0)",-1
2056384a-e637-4681-b760-dda612a9a0cd,Task74,,execute,74.xlsx,c2c26f364a152e5f2b73f1851a6e7048,original,"('is_samepatterns', 'is_samepatterns', 0)",-1,6,metrics_covered_lines_in_function_ratio,58.823529411764,58.8235294117647,<class 'float'>,"(datetime.datetime(2024, 9, 13, 12, 28, 7, 318000), 0)",-1
25fd18e8-80c0-4408-bba2-3578181c0360,Task58,,execute,58.xlsx,45899003e6e468b51c733eb7daaa1eaf,original,"('opposite_Signs', 'opposite_Signs', 0)",4,2,input_value,2,2,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 26, 49, 692000), 0)",-1
bb94fa25-9bfd-41e0-9fac-b50f11a53c50,Task2,,execute,2.xlsx,c7234eb2c9feeb4de4561b5d9d5dcc84,original,"('similar_elements', 'similar_elements', 0)",-1,8,metrics_all_branches_in_file,1153,1153,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 25, 24, 695000), 0)",-1
5148f65f-17cd-4e16-a135-436f8e0f8bd9,Task69,,execute,69.xlsx,None,original,"('create', 'createPythonObject', 0)",1,7,adaptation_instruction,No adaptations ,No adaptations needed,AdaptationInstruction,"(datetime.datetime(2024, 9, 13, 12, 27, 45, 827000), 0)",-1
2644e3f2-d2b2-42bd-b2aa-e81ced959c88,Task14,,execute,14.xlsx,f612f1d481b718d8e895b72f4d91ce74,original,"('find_Volume', 'find_Volume', 0)",1,2,op,find_Volume,find_Volume,function,"(datetime.datetime(2024, 9, 13, 12, 26, 2, 370000), 0)",151
070b0f41-8841-463c-9208-354a352ad939,Task70,,execute,70.xlsx,e36effc2bd77fe51d13d60fac43ead68,original,"('get_equal', 'get_equal', 0)",0,12,value,True,True,<class 'bool'>,"(datetime.datetime(2024, 9, 13, 12, 27, 50, 741000), 0)",150
f625b357-4496-4291-a02e-90646c25bdce,Task19,,execute,19.xlsx,None,original,"('create', 'createPythonObject', 0)",7,1,input_value,5,5,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 26, 24, 238000), 0)",-1
91cd883e-3db2-44b7-9604-d3b6e88eedcb,Task63,,execute,63.xlsx,None,original,"('create', 'createPythonObject', 0)",3,12,input_value,21,21,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 27, 11, 352000), 0)",-1
5148f65f-17cd-4e16-a135-436f8e0f8bd9,Task69,,execute,69.xlsx,7f1fe83226516d017fe927a3135126d2,original,"('is_sublist', 'is_sublist', 0)",2,9,input_value,-,-,<class 'str'>,"(datetime.datetime(2024, 9, 13, 12, 27, 45, 828000), 0)",-1
77a9f0f0-ed69-4652-8d41-b1eb0378da51,Task64,,execute,64.xlsx,None,original,"('create', 'createPythonObject', 0)",3,4,input_value,Social sciences,Social sciences,<class 'str'>,"(datetime.datetime(2024, 9, 13, 12, 27, 16, 594000), 0)",-1
05d67350-cc45-41fa-aec1-6216b02e55a7,Task75,,execute,75.xlsx,None,original,"('create', 'createPythonObject', 0)",3,3,input_value,12,12,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 28, 13, 884000), 0)",-1
77a9f0f0-ed69-4652-8d41-b1eb0378da51,Task64,,execute,64.xlsx,bca1fc35d418ea7f57810759e490efc8,original,"('subject_marks', 'subject_marks', 0)",1,7,op,subject_marks,subject_marks,function,"(datetime.datetime(2024, 9, 13, 12, 27, 16, 595000), 0)",144
25fd18e8-80c0-4408-bba2-3578181c0360,Task58,,execute,58.xlsx,45899003e6e468b51c733eb7daaa1eaf,original,"('opposite_Signs', 'opposite_Signs', 0)",-1,3,metrics_all_branches_in_function,0,0,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 26, 49, 693000), 0)",-1
91cd883e-3db2-44b7-9604-d3b6e88eedcb,Task63,,execute,63.xlsx,754dea31111338173ed99217483509ae,original,"('max_difference', 'max_difference', 0)",-1,10,metrics_covered_branches_in_file,2,2,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 27, 11, 352000), 0)",-1
8685fa01-4ba0-486a-ad3b-bf2f3fb4adcc,Task17,,execute,17.xlsx,44d3ff0cde54cde689c42c6d42500212,original,"('square_perimeter', 'square_perimeter', 0)",-1,1,metrics_covered_branches_in_function,0,0,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 26, 12, 884000), 0)",-1
e2ac1971-9bd0-47df-940f-d0dfb30db9e4,Task72,,execute,72.xlsx,a2faa1d518c16c13bd976c0060d6a218,original,"('dif_Square', 'dif_Square', 0)",-1,3,metrics_execution_time,144,144,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 28, 2, 532000), 0)",-1
3c483f65-928b-49f9-a65a-edaf6dbabe09,Task61,,execute,61.xlsx,03f9c9c6391f8f2a0d652e53396e6117,original,"('count_Substrings', 'count_Substrings', 0)",1,3,op,count_Substring,count_Substrings,function,"(datetime.datetime(2024, 9, 13, 12, 27, 0, 309000), 0)",165
d44c2942-79f9-4494-9610-62d081360c0e,Task6,,execute,6.xlsx,3657a3483edda41e0c8651e6b8ce4533,original,"('differ_At_One_Bit_Pos', 'differ_At_One_Bit_Pos', 0)",-1,2,metrics_all_lines_in_file,2360,2360,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 25, 43, 125000), 0)",-1
4b0c607a-78f7-4356-a605-e2e462302ada,Task68,,execute,68.xlsx,2bdf15b96c152386ffd80a5402ec2068,original,"('is_Monotonic', 'is_Monotonic', 0)",-1,2,metrics_covered_branches_in_file,2,2,<class 'int'>,"(datetime.datetime(2024, 9, 13, 12, 27, 39, 630000), 0)",-1
6f8ecc10-a9a9-48ee-869a-ba254e25eaa2,Task20,,execute,20.xlsx,b622b9aa07862f986b31efb97507b831,original,"('is_woodall', 'is_woodall', 0)",1,2,op,is_woodall,is_woodall,function,"(datetime.datetime(2024, 9, 13, 12, 26, 29, 996000), 0)",144
77a9f0f0-ed69-4652-8d41-b1eb0378da51,Task64,,execute,64.xlsx,None,original,"('create', 'createPythonObject', 0)",2,9,input_value,python.Tuple,python.Tuple,<class 'str'>,"(datetime.datetime(2024, 9, 13, 12, 27, 16, 596000), 0)",-1
f0338883-816d-4e31-bb40-ba498f1f5652,Task71,,execute,71.xlsx,None,original,"('create', 'createPythonObject', 0)",1,8,op,create,create,function,"(datetime.datetime(2024, 9, 13, 12, 27, 57, 342000), 0)",-1
05d67350-cc45-41fa-aec1-6216b02e55a7,Task75,,execute,75.xlsx,None,original,"('create', 'createPythonObject', 0)",2,8,input_value,python.Tuple,python.Tuple,<class 'str'>,"(datetime.datetime(2024, 9, 13, 12, 28, 13, 886000), 0)",-1
